x-axis,1,2
second,Volt,Volt
-20.00000E-03,-1.25629E-03,-20.10050E-03
-19.97500E-03,-1.25629E-03,+0.0E+00
-19.95000E-03,-1.25629E-03,+0.0E+00
-19.92500E-03,-1.25629E-03,-20.10050E-03
-19.90000E-03,-5.27639E-03,+0.0E+00
-19.87500E-03,-1.25629E-03,-20.10050E-03
-19.85000E-03,-5.27639E-03,-20.10050E-03
-19.82500E-03,-5.27639E-03,-20.10050E-03
-19.80000E-03,-5.27639E-03,-0.0E+00
-19.77500E-03,-5.27639E-03,-20.10050E-03
-19.75000E-03,-1.25629E-03,-20.10050E-03
-19.72500E-03,-5.27639E-03,-20.10050E-03
-19.70000E-03,-1.25629E-03,-20.10050E-03
-19.67500E-03,-1.25629E-03,+0.0E+00
-19.65000E-03,-1.25629E-03,+0.0E+00
-19.62500E-03,-1.25629E-03,+0.0E+00
-19.60000E-03,-1.25629E-03,+20.10050E-03
-19.57500E-03,-1.25629E-03,-0.0E+00
-19.55000E-03,-1.25629E-03,-20.10050E-03
-19.52500E-03,-1.25629E-03,+0.0E+00
-19.50000E-03,-5.27639E-03,-0.0E+00
-19.47500E-03,-5.27639E-03,-20.10050E-03
-19.45000E-03,-5.27639E-03,-20.10050E-03
-19.42500E-03,-1.25629E-03,-0.0E+00
-19.40000E-03,-5.27639E-03,+0.0E+00
-19.37500E-03,-5.27639E-03,-0.0E+00
-19.35000E-03,-1.25629E-03,-20.10050E-03
-19.32500E-03,-5.27639E-03,-20.10050E-03
-19.30000E-03,-5.27639E-03,-20.10050E-03
-19.27500E-03,-1.25629E-03,-20.10050E-03
-19.25000E-03,-1.25629E-03,-20.10050E-03
-19.22500E-03,-1.25629E-03,-20.10050E-03
-19.20000E-03,-5.27639E-03,-20.10050E-03
-19.17500E-03,-1.25629E-03,-20.10050E-03
-19.15000E-03,-5.27639E-03,-20.10050E-03
-19.12500E-03,-5.27639E-03,-20.10050E-03
-19.10000E-03,-1.25629E-03,-0.0E+00
-19.07500E-03,-5.27639E-03,-20.10050E-03
-19.05000E-03,-1.25629E-03,-0.0E+00
-19.02500E-03,-5.27639E-03,-0.0E+00
-19.00000E-03,-1.25629E-03,+0.0E+00
-18.97500E-03,-1.25629E-03,-0.0E+00
-18.95000E-03,-5.27639E-03,-0.0E+00
-18.92500E-03,-5.27639E-03,-20.10050E-03
-18.90000E-03,-1.25629E-03,-20.10050E-03
-18.87500E-03,-1.25629E-03,+0.0E+00
-18.85000E-03,-5.27639E-03,-20.10050E-03
-18.82500E-03,-1.25629E-03,-0.0E+00
-18.80000E-03,-1.25629E-03,+0.0E+00
-18.77500E-03,-1.25629E-03,-20.10050E-03
-18.75000E-03,-1.25629E-03,-20.10050E-03
-18.72500E-03,-1.25629E-03,-20.10050E-03
-18.70000E-03,-5.27639E-03,-20.10050E-03
-18.67500E-03,-5.27639E-03,-0.0E+00
-18.65000E-03,-1.25629E-03,-20.10050E-03
-18.62500E-03,-1.25629E-03,-20.10050E-03
-18.60000E-03,-1.25629E-03,-20.10050E-03
-18.57500E-03,-1.25629E-03,-20.10050E-03
-18.55000E-03,-5.27639E-03,-0.0E+00
-18.52500E-03,-5.27639E-03,-20.10050E-03
-18.50000E-03,-5.27639E-03,-20.10050E-03
-18.47500E-03,-5.27639E-03,-0.0E+00
-18.45000E-03,-1.25629E-03,-20.10050E-03
-18.42500E-03,-5.27639E-03,-0.0E+00
-18.40000E-03,-5.27639E-03,-20.10050E-03
-18.37500E-03,-1.25629E-03,-20.10050E-03
-18.35000E-03,-5.27639E-03,-20.10050E-03
-18.32500E-03,-1.25629E-03,-20.10050E-03
-18.30000E-03,-1.25629E-03,-20.10050E-03
-18.27500E-03,-5.27639E-03,-20.10050E-03
-18.25000E-03,-5.27639E-03,-20.10050E-03
-18.22500E-03,-1.25629E-03,-0.0E+00
-18.20000E-03,-5.27639E-03,-20.10050E-03
-18.17500E-03,-1.25629E-03,-20.10050E-03
-18.15000E-03,-1.25629E-03,-0.0E+00
-18.12500E-03,-5.27639E-03,-20.10050E-03
-18.10000E-03,-5.27639E-03,-20.10050E-03
-18.07500E-03,-1.25629E-03,-20.10050E-03
-18.05000E-03,-5.27639E-03,-20.10050E-03
-18.02500E-03,-1.25629E-03,-20.10050E-03
-18.00000E-03,-1.25629E-03,-0.0E+00
-17.97500E-03,-1.25629E-03,-0.0E+00
-17.95000E-03,-1.25629E-03,+0.0E+00
-17.92500E-03,-5.27639E-03,-20.10050E-03
-17.90000E-03,-5.27639E-03,+0.0E+00
-17.87500E-03,-1.25629E-03,+0.0E+00
-17.85000E-03,-5.27639E-03,-0.0E+00
-17.82500E-03,-1.25629E-03,-20.10050E-03
-17.80000E-03,-5.27639E-03,-0.0E+00
-17.77500E-03,-1.25629E-03,-0.0E+00
-17.75000E-03,-5.27639E-03,-20.10050E-03
-17.72500E-03,-1.25629E-03,-20.10050E-03
-17.70000E-03,-1.25629E-03,-20.10050E-03
-17.67500E-03,-1.25629E-03,+0.0E+00
-17.65000E-03,-5.27639E-03,-0.0E+00
-17.62500E-03,-5.27639E-03,-20.10050E-03
-17.60000E-03,-1.25629E-03,-20.10050E-03
-17.57500E-03,-5.27639E-03,-0.0E+00
-17.55000E-03,-5.27639E-03,-20.10050E-03
-17.52500E-03,-5.27639E-03,-20.10050E-03
-17.50000E-03,-1.25629E-03,-20.10050E-03
-17.47500E-03,-5.27639E-03,+0.0E+00
-17.45000E-03,-5.27639E-03,-20.10050E-03
-17.42500E-03,-5.27639E-03,-20.10050E-03
